"title_id","content_id","store_classification_2","store_classification_3","serialstation_classification","name"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK016","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP U.S.O. Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP003","ADD-ON","COMBO","DLC","LittleBigPlanet PSP U.S.O. Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK009","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Wedding Costumes"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYTM003","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Weddings Theme Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK025","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Wild West Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP012","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Wild West Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK014","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Wilderness Costumes"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYTM008","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Wilderness Theme Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK019","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet PSP Yuletide Sack Costume"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYLP006","ADD-ON","COMBO","DLC","LittleBigPlanet PSP Yuletide Sack Pack"
"UCUS-98744","UP9000-UCUS98744_00-LBPPDLCSONYCK005",NULL,NULL,"DLC","LittleBigPlanet™ PSP® Launch Day Outfit and Sticker"
"NPUA-80662","UP9000-NPUA80662_00-GLITTLEBIG000001","GAME","NA","Game","LittleBigPlanet™ 2"
"NPHA-80239","HP9000-NPHA80239_00-LBPKARTING0DEMO1","DEMO","NA","Demo","LittleBigPlanet Karting DEMO"
"BCET-70048","EP9000-BCET70048_00-GBETALITTL000001",NULL,NULL,"Unknown","LittleBigPlanet™ Karting Beta Trial"
"BCAS-20205","HP9000-BCAS20205_00-IGCLBPORIGCO0010",NULL,NULL,"Unknown","Chinese New Year Costumes"
"BCAS-20205","HP9000-BCAS20205_00-LBPDLCORIGCO0044",NULL,NULL,"DLC","Cinco de Mayo Mariachi Costume"
"BCAS-20205","HP9000-BCAS20205_00-IGCLBPORIGCO0002",NULL,NULL,"Unknown","Halloween Pumpkin Costume"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPCOMPCO0003","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Design Competition America Winner Design"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYCK0004","ADD-ON","COSTUME/SKIN","DLC","LBP Karting ICO and Shadow of the Colossus – Costume Kit"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPKMGSCO0004","ADD-ON","COSTUME/SKIN","DLC","LBP Karting METAL GEAR SOLID Screaming Mantis Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0002","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Barbossa Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0003","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Davy Jones Costume"
